Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,3/12/2016 0:00,0,0
1503960366,3/12/2016 1:00,0,0
1503960366,3/12/2016 2:00,0,0
1503960366,3/12/2016 3:00,0,0
1503960366,3/12/2016 4:00,0,0
1503960366,3/12/2016 5:00,0,0
1503960366,3/12/2016 6:00,0,0
1503960366,3/12/2016 7:00,0,0
1503960366,3/12/2016 8:00,0,0
1503960366,3/12/2016 9:00,1,0.016667
1503960366,3/12/2016 10:00,26,0.433333
1503960366,3/12/2016 11:00,49,0.816667
1503960366,3/12/2016 12:00,47,0.783333
1503960366,3/12/2016 13:00,20,0.333333
1503960366,3/12/2016 14:00,121,2.016667
1503960366,3/12/2016 15:00,129,2.15
1503960366,3/12/2016 16:00,42,0.7
1503960366,3/12/2016 17:00,20,0.333333
1503960366,3/12/2016 18:00,2,0.033333
1503960366,3/12/2016 19:00,30,0.5
1503960366,3/12/2016 20:00,4,0.066667
1503960366,3/12/2016 21:00,29,0.483333
1503960366,3/12/2016 22:00,41,0.683333
1503960366,3/12/2016 23:00,35,0.583333
1503960366,3/13/2016 0:00,3,0.05
1503960366,3/13/2016 1:00,0,0
1503960366,3/13/2016 2:00,1,0.016667
1503960366,3/13/2016 3:00,0,0
1503960366,3/13/2016 4:00,0,0
1503960366,3/13/2016 5:00,0,0
1503960366,3/13/2016 6:00,0,0
1503960366,3/13/2016 7:00,0,0
1503960366,3/13/2016 8:00,1,0.016667
1503960366,3/13/2016 9:00,5,0.083333
1503960366,3/13/2016 10:00,85,1.416667
1503960366,3/13/2016 11:00,130,2.166667
1503960366,3/13/2016 12:00,3,0.05
1503960366,3/13/2016 13:00,9,0.15
1503960366,3/13/2016 14:00,3,0.05
1503960366,3/13/2016 15:00,23,0.383333
1503960366,3/13/2016 16:00,25,0.416667
1503960366,3/13/2016 17:00,5,0.083333
1503960366,3/13/2016 18:00,110,1.833333
1503960366,3/13/2016 19:00,57,0.95
1503960366,3/13/2016 20:00,25,0.416667
1503960366,3/13/2016 21:00,9,0.15
1503960366,3/13/2016 22:00,17,0.283333
1503960366,3/13/2016 23:00,46,0.766667
1503960366,3/14/2016 0:00,4,0.066667
1503960366,3/14/2016 1:00,3,0.05
1503960366,3/14/2016 2:00,0,0
1503960366,3/14/2016 3:00,0,0
1503960366,3/14/2016 4:00,0,0
1503960366,3/14/2016 5:00,0,0
1503960366,3/14/2016 6:00,0,0
1503960366,3/14/2016 7:00,3,0.05
1503960366,3/14/2016 8:00,14,0.233333
1503960366,3/14/2016 9:00,61,1.016667
1503960366,3/14/2016 10:00,4,0.066667
1503960366,3/14/2016 11:00,14,0.233333
1503960366,3/14/2016 12:00,9,0.15
1503960366,3/14/2016 13:00,1,0.016667
1503960366,3/14/2016 14:00,6,0.1
1503960366,3/14/2016 15:00,13,0.216667
1503960366,3/14/2016 16:00,11,0.183333
1503960366,3/14/2016 17:00,17,0.283333
1503960366,3/14/2016 18:00,29,0.483333
1503960366,3/14/2016 19:00,33,0.55
1503960366,3/14/2016 20:00,45,0.75
1503960366,3/14/2016 21:00,12,0.2
1503960366,3/14/2016 22:00,0,0
1503960366,3/14/2016 23:00,90,1.5
1503960366,3/15/2016 0:00,3,0.05
1503960366,3/15/2016 1:00,2,0.033333
1503960366,3/15/2016 2:00,4,0.066667
1503960366,3/15/2016 3:00,0,0
1503960366,3/15/2016 4:00,1,0.016667
1503960366,3/15/2016 5:00,0,0
1503960366,3/15/2016 6:00,1,0.016667
1503960366,3/15/2016 7:00,1,0.016667
1503960366,3/15/2016 8:00,28,0.466667
1503960366,3/15/2016 9:00,49,0.816667
1503960366,3/15/2016 10:00,17,0.283333
1503960366,3/15/2016 11:00,34,0.566667
1503960366,3/15/2016 12:00,49,0.816667
1503960366,3/15/2016 13:00,16,0.266667
1503960366,3/15/2016 14:00,26,0.433333
1503960366,3/15/2016 15:00,14,0.233333
1503960366,3/15/2016 16:00,27,0.45
1503960366,3/15/2016 17:00,19,0.316667
1503960366,3/15/2016 18:00,15,0.25
1503960366,3/15/2016 19:00,16,0.266667
1503960366,3/15/2016 20:00,86,1.433333
1503960366,3/15/2016 21:00,35,0.583333
1503960366,3/15/2016 22:00,37,0.616667
1503960366,3/15/2016 23:00,15,0.25
1503960366,3/16/2016 0:00,0,0
1503960366,3/16/2016 1:00,0,0
1503960366,3/16/2016 2:00,1,0.016667
1503960366,3/16/2016 3:00,0,0
1503960366,3/16/2016 4:00,0,0
1503960366,3/16/2016 5:00,0,0
1503960366,3/16/2016 6:00,0,0
1503960366,3/16/2016 7:00,6,0.1
1503960366,3/16/2016 8:00,27,0.45
1503960366,3/16/2016 9:00,27,0.45
1503960366,3/16/2016 10:00,12,0.2
1503960366,3/16/2016 11:00,36,0.6
1503960366,3/16/2016 12:00,34,0.566667
1503960366,3/16/2016 13:00,16,0.266667
1503960366,3/16/2016 14:00,3,0.05
1503960366,3/16/2016 15:00,19,0.316667
1503960366,3/16/2016 16:00,28,0.466667
1503960366,3/16/2016 17:00,43,0.716667
1503960366,3/16/2016 18:00,74,1.233333
1503960366,3/16/2016 19:00,7,0.116667
1503960366,3/16/2016 20:00,16,0.266667
1503960366,3/16/2016 21:00,49,0.816667
1503960366,3/16/2016 22:00,18,0.3
1503960366,3/16/2016 23:00,18,0.3
